           APRIL 10, 2015 PYCON, 12:10 - 12:40  - GOT TEXT
           FROM ANA AT 12:20, THERE IS A CONFUSION, CAN I
           JUMP BACK ON...
01:32:18
-00:00:00  THERE IS CRITICISM OF HTTP2, I'M CALLING IT OUT
00:00:11   BECAUSE I'M CERTAIN A LOT OF PEOPLE IN THE ROOM
00:00:13   HAVE READ THE VARIOUS DOCUMENTS TAKING SHOTS AT
00:00:16   THE PROTOCOL.
00:00:19   POLLEN AND CAMP IS A BSD DEVELOPER, LEAD
00:00:22   DEVELOPER OF THE VARNISH HTTM PROTOCOL AND HE'S
00:00:26   CIRCULATED A LOT OF WRITING ABOUT HOW TERRIBLE IT
00:00:29   IS, AND I MYSELF AM VERY GLAD HE DOESN'T HAVE A
00:00:32   PROTOCOL DESIGN CLASS FOR ME TO FLUNK OUT OF.
00:00:34   BUT THE QUESTION IS, WHY, WHY IS THERE SO MUCH
00:00:40   NEGATIVITY ABOUT HTTP2 WHEN IT HAS SO MANY NICE
00:00:44   THINGS IN IT?
00:00:45   THE REAL ANSWER IS MUCH LIKE HTTP1, IT'S A FLAWED
00:00:49   PROTOCOL, IT'S NOT PERFECT.
00:00:51   I WOULD CONTEND THAT NO PROTOCOL EVER IS, AND SO
00:00:53   WE'VE TRADED SOME DOWNSIDES FOR OTHER DOWNSIDES.
00:00:57   SOME GOOD EXAMPLES.
00:00:58   IT'S REALLY TRICKY TO REASON ABOUT.
00:01:01   SO HTTP1 TO ONE HAS AS ONE OF ITS GREAT JOYS,
00:01:07   VERY EASY TO LOOK AT A WAY TO SPOT WHAT THE
00:01:09   PROBLEM IS, SO THE BRAIN, HUMAN BRAIN IS GREAT AT
00:01:13   PATTERN MATCHING AND WE CAN LOOK AT THE TEXT
00:01:15   RESPONSE AND SAY THAT CAN'T POSSIBLY BE RIGHT
00:01:17   BECAUSE WEIRD THING HERE IS GOING WRONG AND IT'S
00:01:20   HARD FOR CODES TO SPOT THAT.
00:01:22   BUT THE WORST PART IS, HPPT2 MAINTAINS REALLY
00:01:26   EXTENSIVE STATE IN ITS CONNECTIONS, SO IN HPPP1
00:01:30   TO ONE, YOU COULD HOP INTO THE FIFTH REQUEST IN A
00:01:32   SEQUENCE AND IT WOULD STAND ALONE, YOU COULD
00:01:34   UNDERSTAND IT IN COMPLETE CONTEXT WITH NO EXTRA
00:01:36   TOOLS.
00:01:37   AND YOU CAN'T DO THAT IN HPP-- HTTP-2, SO THE
00:01:42   FIFTH REQUEST WILL SAY RESEND HEADER 5.
00:01:44   WHAT THE HELL IS HEADER 5?
00:01:47   I HAVE NO IDEA WHAT THAT WAS.
00:01:48   SO YOU NEED COOPERATION FROM YOUR TOOLS AND THIS
00:01:53   MEANS THAT BASICALLY TOOLS NOW NEED TO BE ABLE TO
00:01:56   DROP THEIR CONNECTION STATE INTO DEBUG LOGS FOR
00:02:00   TO YOU SUCCESSFULLY DEBUG AND MOST TOOLS HAVE NOT
00:02:03   WRITTEN THAT FUNCTION.
00:02:03   THIS ALSO MEANS THAT IT'S REALLY HARD TO DEBUG,
00:02:08   YOU NEED TO DO A TON OF INTERRUPT TESTING, THAT'S
00:02:10   THE ONLY WAY YOU CAN BE SURE YOU'VE IMPLEMENTED
00:02:13   CORRECTLY IS GET EVERY OTHER IMPLEMENTATION AND
00:02:16   RUN YOUR CODES AGAINST THEM.
00:02:17   THERE ARE SOME GREAT RESOURCES FOR DOING THIS BUT
00:02:19   YOU HAVE TO FIND THEM.
00:02:20   IT'S GOT SOME REALLY TERRIBLE AWKWARD EDGE CASES
00:02:23   AND THESE CAME OUT BECAUSE WE WERE REQUIRED TO
00:02:24   MAINTAIN COMPATIBILITY WITH HPT-- HTTP1.1.
00:02:30   SO ANYTHING YOU COULD SEND IN ONE HAD TO BE ABLE
00:02:34   TO BE SENT IN TWO.
00:02:35   THE BIGGEST PROBLEM IS HEADERS SO, HPP-- HTTP2
00:02:40   FRAMES, THEY HAVE A MAXIMUM LENGTH, IN PRACTICE,
00:02:42   16 KILOBYTES.
00:02:43   AND ITS TURNS OUT YOU CAN HAVE A SINGLE HEADER
00:02:46   THAT'S MORE THAN 16 KILOBYTES LONG.
00:02:48   COBRA WILL GENERATE HEADERS THAT ARE THAT LARGE
00:02:52   FOR THEIR TOKENNIZATION.
00:02:53   NOW, FOR ME, I WOULD CALL THAT A GOOD REASON TO
00:02:56   ABANDON COBRAS BUT UNFORTUNATELY, I CAN'T MAKE
00:03:00   THOSE MANDATES SO INSTEAD WE HAVE TO ALLOW IT AND
00:03:03   THIS MEANS IN PRACTICE, YOU CAN FREEZE AN HTTP2
00:03:05   CONNECTION DEAD BY SENDING OFFICIALLY LARGE
00:03:09   HEADERS AND NOT FINISHING THEM OFF.
00:03:10   THIS IS WE'LL QUITE TRICKY.
00:03:13   I FOUND ONE FOR PYTHON, THOUGH, FUNDAMENTALLY
00:03:16   HTTP2 IS INHERENTLY CONCURRENT, IT'S GOT ONE TCP
00:03:20   STREAM DOWN WHICH IT SENDS DATA AND ALSO CONTROL
00:03:22   FRAMES SO THINGS LIKE IS THIS CONNECTION STILL
00:03:25   ALIVE, PLEASE INCREASE YOUR FLOW CONTROL WINDOW,
00:03:28   PLEASE CHANGE YOUR HEADER COMPRESSION STATE.
00:03:30   YOU NEED TO PROCESS THESE PROMPTLY.
00:03:32   THEY NEED -- YOU NEED TO BE PUMPING THAT
00:03:34   CONNECTION ALL THE TIME AND THIS IS REALLY
00:03:36   DIFFICULT IN SYNCHRONOUS PROGRAMMING LIKE WHAT A
00:03:38   LOT OF US DO IN PYTHON.
00:03:39   IF YOU'RE USED TO USING REQUESTS, YOU'RE GOING TO
00:03:42   FIND THIS REALLY VERY TRICKY AND WE'VE GOT TO DO
00:03:45   A LOT OF CLEVER WORK TO MAKE SURE THAT WE CAN
00:03:48   HANDLE THIS APPROPRIATELY.
00:03:49   IT'S GOING TO BE REALLY HARD, I'M PROBABLY NOT
00:03:54   SMARTS ENOUGH TO SOLVE IT.
00:03:55   IF THERE IS ANYONE, COME TALK TO ME OR EVEN IF
00:03:58   YOU'RE NOT SMART ENOUGH TO SOLVE IT, BUT WOULD
00:04:02   LIKE TO HELP, I CAN'T DO IT ON MY OWN.
00:04:04   I WOULDN'T BE SURPRISED TO FIND THAT HTTP2 IS THE
00:04:07   PRIMARY MOTIVATOR BEHIND A BIG A-SYNCS I.O., AND
00:04:14   IF YOU HAVEN'T USED IT, NICHOLAS IS TALKING ABOUT
00:04:17   IT, DOING AN INTRODUCTION, I RECOMMEND GOING
00:04:19   BECAUSE IF YOU WORK WITH THE WEB, YOU PROBABLY
00:04:20   WANT TO START USING IT.
00:04:21   BUT DESPITE ALL OF THESE THINGS, IN A LOT OF
00:04:24   CASES, HTTP2 IS REALLY GOOD AND AS AN EXAMPLE OF
00:04:28   HOW GOOD, I WANT TO BRING UP THIS.
00:04:30   THIS IS FROM THE GO PROGRAMMING LANGUAGE HTTP2
00:04:34   WEB PAGE.
00:04:35   THIS IS A GOPHER TILES DEMONSTRATION.
00:04:37   YOU CAN LOAD THIS UP NOW IF YOU GOOGLE GOPHER
00:04:39   TILES, YOU CAN FIND THIS FOR THOSE OF YOU WHO
00:04:41   HAVE LAPTOPS IN FRONTS OF YOU.
00:04:42   SO EACH OF THESE IMAGES IS MADE UP OF 180 TILED
00:04:45   SMALLER IMAGES.
00:04:46   THE ONE ON THE LEFT IS BEING SERVED OVER HTTP1.1.
00:04:50   THE ONE ON THE RIGHT OVER 2.
00:04:52   THESE ARE BOTH FROM CHROME.
00:04:53   SO IF YOU'VE GOT CHROME OR FIREBOX HTTP2 WORKS
00:04:57   RIGHT NOW, YOU CAN LITERALLY TEST THIS WHILE I
00:04:59   GO.
00:05:00   SO I'M GOING TO START THEM BOTH AT THE SAME TIME
00:05:02   AND BY AT THE SAME TIME, I MEAN I'M GOING TO GIVE
00:05:04   HTTP1.1 A SECOND OF HEAD START.
00:05:07   AND WE'LL SEE WHICH LOADS FIRST.
00:05:10   THAT WAS EASY.
00:05:14   AND THIS IS CONSISTENTLY TRUE.
00:05:16   SO THERE'S LOTS OF -- YOU CAN'T REALLY SEE
00:05:19   BECAUSE I COMPRESSED THE HELL OUT OF THESE IMAGES
00:05:21   BUT THERE IS A TON OF VARIOUS OPTIONS YOU CAN ADD
00:05:24   LATENCY TO THE REQUESTS, SO THAT WAS THE ZERO
00:05:26   LATENCY DEMO, THE BEST CASE FOR HTTP1.1, AND 2
00:05:32   SMOKES IT OUT OF THE WATER.
00:05:33   I TESTED THIS WITH MY IMPLEMENTATION IN PYTHON
00:05:37   AND I COULD -- THE ONLY WAY I COULD GET 1.1 TO BE
00:05:40   AS FAST WAS TO START 180 CONCURRENT CONNECTIONS,
00:05:43   SO I HAD TO DOWNLOAD THEM ALL IN PARALLEL AT THE
00:05:47   SAME TIME, THAT DOES NOT SCALE TO EVERYONE ON THE
00:05:49   INTERNET DOING THAT.
00:05:49   SO HTTP2 HAS SOME SERIOUS ADVANTAGES.
00:05:54   ALL RIGHT.
00:05:54   SO IT'S REALLY GOOD, HOW DO YOU GET TO PLAY
00:05:57   AROUND WITH IT?
00:05:58   SO THERE ARE AT LEAST 34 CURRENT IMPLEMENTATIONS
00:06:01   OF HTTP2.
00:06:04   THIS IS NOT ALL OF THEM, THIS IS A SMALL LIST,
00:06:07   THEY'VE GOT VARIOUS EXCITING NAMES, SOMEONE'S ON
00:06:11   THIS LIST THAT ARE WORTH FLAGGING UP, THERE IS
00:06:14   HYPER, PYTHON CLIENT LIBRARY, I'LL TALK ABOUT
00:06:16   THAT IN A SECOND BECAUSE IT'S MINE.
00:06:18   AND, THEREFORE, WORTHY OF YOUR TIME.
00:06:21   THERE'S MGHTTP2.
00:06:26   THAT'S THE OPEN SOURCE REFERENCE IMPLEMENTATION
00:06:29   FOR HTTP2.
00:06:31   DOES ALL THE THINGS A CLIENT, A SERVER, A PROXY,
00:06:35   WHATEVER YOU WANT IT TO DO, ITS ONLY DOWNSIDE IS
00:06:37   IT'S A NIGHTMARE TO COMPILE, IT HAS A LOT OF
00:06:40   DEPENDENCIES BUT IF YOU CAN INTERRUPT WITH THAT,
00:06:43   YOU CAN PROBABLY INTERRUPT WITH A LOT OF OTHER
00:06:45   TOOLS.
00:06:47   FIREFOX AND CHROME, BOTH HAVE IMPLEMENTATIONS, IF
00:06:51   YOU GO TO TWITTER ON THOSE, YOU'RE USING 2,
00:06:54   BECAUSE TWITTER HAS AN IMPLEMENTATION, AS WELL.
00:06:58   WIRESHOCK CAN DECODE THE FRAMES, WHICH WOULD BE
00:07:00   USEFUL EXCEPT FOR THE FACT THAT HTTP2 IS ALMOST
00:07:04   ALWAYS SERVED OVER ALTS.
00:07:07   CURL AND LIP CURL CAN USE 2, THEY USE 2'S STUFF
00:07:12   SO YOU NEED NGH 2 FIRST BUT THEN YOU CAN USE IT
00:07:16   WITH CURL STRAIGHT OUT OF THE BOX.
00:07:18   INTERNET EXPLORER IS WORKING ON ONE FOR THOSE OF
00:07:21   YOU WHO LOVE MICROSOFT AND THERE ARE PLENTY OF
00:07:23   OTHERS FLOATING AROUND FOR YOUR FAVORITE
00:07:25   LANGUAGES.
00:07:25   IN FACT, PYTHON IS ONE OF THE LANGUAGES THAT IS
00:07:27   UNDERSERVED BY IMPLEMENTATIONS, THERE ARE MORE
00:07:29   IMPLEMENTATIONS FOR HASKELL THAN THERE ARE FOR
00:07:32   PYTHON.
00:07:33   SO LET'S TALK ABOUT HYPER QUICKLY, PYTHON'S
00:07:36   CURRENT ONLY HTTP2 IMPLEMENTATION.
00:07:39   IT'S NOT EVEN FULL, IT REALLY IS JUST A CLIENT
00:07:42   LIBRARY BECAUSE THAT'S REALLY ALL I CARE ABOUT.
00:07:45   SO HITCHER FITS IN ROUGHLY THE SAME PLACE IN THE
00:07:48   HTTP STACK AS MTTP LIB OR DOT-CLIENT.
00:07:53   AND IF YOU'VE NEVER USED EITHER OF THOSE
00:07:56   DIRECTLY, THEN PROBABLY THE KIND OF THING YOU
00:07:58   WON'T WANT TO THINK ABOUT.
00:08:00   THE REAL GOAL IS TO SLOT IN ROUGHLY AT THE BOTTOM
00:08:02   OF THE STACK SO WE CAN PUT THE URL 3 ON TOP OF
00:08:05   THAT AND REQUESTS ON TOP OF THAT.
00:08:07   IT IS STILL UNDER VERY ACTIVE DEVELOPMENT BUT
00:08:11   IT'S PRIMARILY JUST ME.
00:08:12   I GET A LOT OF PEOPLE KIND OF FLOATING IN AND OUT
00:08:14   TO CONTRIBUTE BUT I DON'T HAVE A LOT OF PEOPLE
00:08:16   WORKING ON IT CONSISTENTLY WHO AREN'T ME.
00:08:18   IT'S GOT A LOT OF FEATURE REQUESTS OPEN, A LOT OF
00:08:21   ISSUES OPEN.
00:08:23   HELP WOULD BE GOOD.
00:08:25   BUT YOU CAN FIND IT THERE ON GITHUB IF YOU WANT
00:08:27   TO LOOK AT THE CODE.
00:08:29   SOME OF THE CODE IS GOOD, SOME OF IT'S TERRIBLE.
00:08:31   AND YOU CAN GET DOCS, SO IF YOU JUST WANT TO PLAY
00:08:34   WITH IT, IF YOU JUST WANT TO TRY STUFF OUT, YOU
00:08:36   CAN GO TO THE DOCUMENTATION, YOU CAN DOWNLOAD IT
00:08:38   FROM PY-PI AND START MAKING REQUESTS.
00:08:44   ONE PLACE TO START MAKING REQUESTS IS HTTP2 BIN.
00:08:47   THIS IS HTTP BIN WHICH A LOT OF PEOPLE WILL KNOW
00:08:52   ABOUT, AND MAINTAINED BY THE LOVELY PEOPLE AT
00:08:55   RUNSCOPE, AND EXACTLY THAT, CODE FOR CODE,
00:08:57   EXACTLY THE SAME, EVENLY IDENTIFIES IT AS HTTP
00:09:00   BIN, BUT RUNNING BEHIND H2O WHICH IS AN HTTP1.1
00:09:05   AND 2 PROXY.
00:09:06   SO IT CAN SPEAK 1.1 AND 2.
00:09:10   I'VE GOT DOCKERRIZED VERSIONS OF ALL THESE AND SO
00:09:15   YOU CAN GO TO MY GITHUB AND GET THEM.
00:09:17   I HAVEN'T UPLOADED THEM TO DOCKER HUB YET BUT
00:09:20   WILL DO, SO YOU CAN EMPLOY THEM INTERNALLY IF YOU
00:09:24   DON'T TRUST ME TO STORE THE DATA I DON'T GET FROM
00:09:26   THE SERVICE.
00:09:27   THE OTHER THING TO KNOW HERE IS THAT H2O REVERSE
00:09:31   PROXIES TO 1.1, SO YOU CAN PUT IT IN FRONT OF ANY
00:09:34   PYTHON WEB APP YOU HAVE RIGHT NOW AND GIVE 2 A
00:09:37   SHOT ON YOUR APP TO SEE HOW IT FEELS, SO IF
00:09:40   YOU'VE GOT STUFF FLOATING AROUND, I HIGHLY
00:09:42   RECOMMEND GIVING IT SOME TIME, TAKE A LOOK AT THE
00:09:45   DOCKER FILE TO SEE HOW THAT SORT OF THING WORKS.
00:09:48   IF YOU WANT TO DO MORE READING, IF YOU ARE
00:09:50   INTERESTED, WANT TO SEE MORE, THEN THERE ARE TWO
00:09:52   MAJOR RESOURCES, THE TOP ONE IS FROM THE CURL
00:09:56   DEVELOPER AND IT'S AN ENORMOUS DOCUMENT THAT
00:09:58   COVERS THE WHYS AND THE HOW AND THE WHAT OF
00:10:00   HTTP2.
00:10:02   IT IS THE RESOURCE, IF YOU TAKE NOTHING ELSE
00:10:06   AWAY, THAT URL IS GREAT.
00:10:07   AND THE PAGE ONE DOWN IS THE CARD PAGE AND IT
