-00:00:01  >> HELLO, EVERYONE, WE'RE LOCATING THE SPEAKER SO
00:28:06   WE'RE A LITTLE BIT BEHIND AT THE MOMENT.
00:28:08   HOPEFULLY IT WON'T BE MORE THAN A FEW MORE
00:28:10   MINUTES.
00:28:11   SORRY ABOUT THAT.
00:28:11   THANKS.
00:28:12   >> HELLO, EVERYONE.
00:30:40   THANK YOU FOR COMING.
00:30:41   I'M ISAAC RICHIE, THE CHAIR FOR TODAY.
00:30:44   OUR FIRST SPEAKER IS KATHERINE SCOTT AND SINCE
00:30:48   WE'RE A LITTLE BIT LATE, WE'LL ASK FOR NO
00:30:50   QUESTIONS AT THE END BUT YOU CAN MEET HER AT THE
00:30:52   BACK.
00:30:53   SHE ALSO HAS TO KIND OF CLEAN EVERYTHING UP, SO
00:30:56   SHE'LL BE AT THE BACK AT THE END OF HER TALK, SO
00:30:59   IF YOU WANT TO ASK ANY QUESTIONS OR CONTINUE THE
00:31:04   DISCUSSION A LITTLE BIT, OKAY?
00:31:05   SO KATHERINE SCOTT.
00:31:07   [ Applause ]
00:31:14   >> HI, GUYS.
00:31:15   OKAY.
00:31:16   SO LET ME JUST SET THIS UP REAL QUICK.
00:31:23   IS EVERYONE HAVING FUN THIS MORNING?
00:31:33   EXCELLENT.
00:31:33   WONDERFUL.
00:31:36   ALL RIGHT.
00:31:39   SO I'M HERE -- FIRST OFF, I'M KATHERINE SCOTT,
00:31:44   HERE TO TALK TO YOU GUYS ABOUT ROBOTS AND
00:31:47   SPECIFICALLY ROS.
00:31:48   SO WHY SHOULD YOU LISTEN TO ME.
00:31:50   SO I'VE BEEN DOING THIS FOR GOING ON 15 YEARS NOW
00:31:58   AND I STARTED OFF WORKING ON THIS ROBOT, A
00:32:01   LEGGED-ROBOT, CALLED REX.
00:32:03   WENT TO A DEFENSE CONTRACTOR WHO DID ROBOTICS
00:32:05   WORK AND AUTOMATION WORK.
00:32:07   OOPS.
00:32:07   YES, KEEP THIS CONFIGURATION.
00:32:24   ALL RIGHT.
00:32:34   AND THEN WENT ON TO BUILD A ROBOTIC CAR AND ALSO
00:32:38   HANG OUT AND DID SOME POST-ROBOTICS WORK.
00:32:40   PRESENTLY, I'M ACTUALLY BUILDING A ROBOT THAT
00:32:43   DOES QUICK TURN PICK AND PLACE FOR PSB ASSEMBLY
00:32:46   SO THIS ROBOT, WHAT IT DOES IS IT BASICALLY HAS
00:32:51   THESE LITTLE TINY, TINY COMPONENTS RIGHT HERE AND
00:32:53   PLACES THEM ON CIRCUIT BOARDS, SO THE ROBOTS DO
00:32:56   THIS ALREADY BUT THEY'RE ALL OPTIMIZED TO BUILD
00:32:59   LIKE A MILLION OF SOMETHING.
00:33:00   SO I'M BUILDING A ROBOT THAT'S SMARTER THAN THOSE
00:33:03   ROBOT AND TAKES, YOU KNOW, ONLY A FEW MINUTES TO
00:33:06   SETS UP VERSUS A FEW DAYS SO YOU CAN DEVELOP
00:33:08   PROTOTYPES A LOT FASTER.
00:33:10   AND SO THE SHAMELESS PLUG HERE IS THAT I BUILD
00:33:12   THESE BOARDS, IF YOU HAVE BOARDS, LET ME KNOW, I
00:33:15   MIGHT BE ABLE TO MAKE THEM FOR YOU AND I'M ALSO
00:33:17   LOOKING FOR ENGINEERS.
00:33:21   SO, BEFORE WE TALK ABOUT ROBOTICS, LET'S TALK
00:33:25   ABOUT THE WEB.
00:33:26   SO MOST OF YOU, WHEN YOU WANT TO GO BUILD A
00:33:28   WEBSITE OR DO SOMETHING LIKE THAT, YOU DON'T GO
00:33:30   AND TRY TO DO EVERYTHING WITH FORCED PRINCIPLES,
00:33:33   YOU DON'T STARTS LOOKING AT SOCKET IO AND HOW DO
00:33:36   I TALK OVER THE INTERNET AND EVERYTHING LIKE
00:33:37   THAT, YOU JUST SORTS OF POP INTO FLASK AND DO
00:33:40   WHAT YOU WANT TO DO.
00:33:41   SO WHEN I TALK TO PEOPLE ABOUT ROBOTICS, I WHAT I
00:33:46   HEAR IS I WROTE THIS FROM SCRATCH OR I WROTE THIS
00:33:48   FROM SCRATCH OR FIGURED THAT OUT FROM PRINCIPLES.
00:33:50   WE SHOULDN'T HAVE TO DO THIS.
00:33:52   WE SHOULDN'T HAVE TO REINVENT THE WHEEL TO DO
00:33:56   ROBOTICS WORK.
00:33:57   TURNS OUT, YOU REALLY DON'T HAVE TO.
00:33:59   THERE IS THIS AWESOME ROBOTICS PACKAGE, CALLED
