-00:00:02  >> GOOD AFTERNOON, EVERYBODY.
00:34:09   WELCOME TO DAY TWO OF PYCON.
00:34:11   SO, ALLISON WILL NOW BE GIVING THE FIRST OF HER
00:34:14   TWO TALKS FOR THIS SESSION.
00:34:16   THIS ONE IS CALLED "BYTES IN THE MACHINE."
00:34:18   ALLISON WORKS AT DROPBOX.
00:34:20   I'LL LET HER TAKE IT AWAY.
00:34:22   PLEASE GIVE HER A WARM WELCOME.
00:34:25   [ Applause ]
00:34:27   >> THANKS VERY MUCH.
00:34:28   CAN YOU HEAR ME OKAY?
00:34:29   HOW DOES THIS SOUND?
00:34:32   CAN EVERYONE HEAR ME OKAY?
00:34:34   GREAT.
00:34:34   SO AS ESTHER SAID, I'M ALLISON KAPTUR, I WORK AT
00:34:38   DROPBOX.
00:34:39   I WAS PREVIOUSLY A PROFESSOR AT HACKER'S SCHOOL
00:34:44   AND THIS IS WHERE YOU CAN FIND ME ON THE INTERNET
00:34:46   AND THIS IS BASICALLY MY HANDLE ANYWHERE ON THE
00:34:49   INTERNET.
00:34:49   I'M GOING TO TALK ABOUT WRITING A PYTHON
00:34:51   INTERPRETER IN PYTHON, PARTICULARLY CPYTHON.
00:34:56   THIS IS BYTES RUN, AND DONE WITH NED BATCHELDER,
00:34:59   HE DID MOST OF THE PYTHON 2 SUPPORT, HE CAME IN
00:35:02   AND DID PYTHON 3 SUPPORT.
00:35:04   WORKING ON THIS WITH NED FOR ABOUT A YEAR, AND
00:35:06   IT'S BEEN A REALLY INTERESTING AND EDUCATIONAL
00:35:09   EXPERIENCE AND I WANT TO SHARE THAT WITH ALL OF
00:35:11   YOU TODAY.
00:35:11   SO BEFORE WE GET STARTED, THE WORD "INTERPRETER"
00:35:16   IS USED IN A VARIETY OF DIFFERENT WAYS WHEN
00:35:18   PEOPLE ARE TALKING ABOUT PYTHON.
00:35:19   SOMETIMES WHEN SOMEONE SAYS THE INTERPRETER THEY
00:35:22   MEAN, THE REPL, THE INTERACTIVE YOU GET,
00:35:28   SOMETIMES PEOPLE SAY THE PYTHON INTERPRETER TO
00:35:31   MEAN ALL OF PYTHON, THE WHOLE PROCESS OF
00:35:33   EXECUTING CODES.
00:35:33   TODAY WE'RE GOING TO TALK ABOUT IT IN A MORE
00:35:37   NARROW SENSE.
00:35:38   AN INTERPRETER FOR OUR PURPOSES IS THE LAST STEP
00:35:39   IN THE PROCESS OF RUNNING A PYTHON PROGRAM.
00:35:42   WHEN PYTHON EXECUTES YOUR CODE, YOU CAN THINK OF
00:35:46   THERE BEING 4 STAGES.
00:35:47   THERE'S LEXING AND PARSING, WHICH IS GOING FROM
00:35:50   SOURCE CODE INFILES TO AN AST THAT THE COMPILER
00:35:54   KNOWS WHAT TO DO WITH.
00:35:56   THEN THERE'S COMPILING, WHICH IS TAKING THE AST
00:35:59   AND TURNING IT INTO A CODE OBJECT THE INTERPRETER
00:36:01   KNOWS HOW TO HANDLE, AND THEN THERE'S
00:36:03   INTERPRETING, WHICH IS TAKING THE CODE HANDLE AND
00:36:06   DOING WHATEVER IT SAYS.
00:36:07   SO BYTE RUN IS A PYTHON INTERPRETER IN THIS
00:36:09   SENSE, TAKES COMPILE CODE OBJECTS AND MAKES THEM
00:36:13   RUN.
00:36:13   YOU MAY BE SURPRISED TO HEAR THAT COMPILING IS A
00:36:15   STEP IN PYTHON AT ALL, SINCE PYTHON IS FAMOUSLY
00:36:18   AN INTERPRETED LANGUAGE IN CONTRAST WITH THE
00:36:21   COMPILED LANGUAGE LIKE C OR REST.
00:36:24   IT TURNS OUT THAT THIS TERMINOLOGY IS NOT AS
00:36:26   PRECISE AS IT SEEMS.
00:36:28   AND IN FACT, MOST INTERPRETED LANGUAGES INCLUDING
00:36:31   PYTHON DO INVOLVE A COMPILATION STEP.
00:36:34   SO THE REASON WHY PYTHON IS CALLED INTERPRETED
00:36:36   INSTEAD -- EVEN THOUGH IT INVOLVES COMPILATION,
00:36:39   IS THAT THE COMPILATION DOESN'T DO A LOT OF WORK
00:36:40   IN PYTHON AND THE COMPILER KNOWS VERY LITTLE.
00:36:43   AND BY CONTRAST, THE INTERPRETER DOES A LOT MORE
00:36:45   WORK AND THE INTERPRETER IS RESPONSIBLE FOR A LOT
00:36:48   MORE.
00:36:48   AND THE PYTHON COMPILER HAS MUCH LESS INFORMATION
00:36:52   ABOUT THE PROGRAM THAT IT'S GOING TO EXECUTE THAN
00:36:55   A C-COMPILER DOES.
00:36:57   A PYTHON INTERPRETER IS A VIRTUAL MACHINE WHICH
00:37:00   JUST MEANS THAT IT'S SOFTWARE THAT EMULATES A
00:37:02   PHYSICAL COMPUTER.
00:37:03   AND THIS PARTICULAR VIRTUAL MACHINE IS A STACK
00:37:06   MACHINE, SO IT MANIPULATES SEVERAL STACKS TO
00:37:08   PERFORM ITS OPERATIONS.
00:37:09   THIS IS IN CONTRAST WITH A REGISTER MACHINE WITH
00:37:12   WHICH YOU COULD MANAGE A VIRTUAL REGISTER MACHINE
00:37:16   IS A DIFFERENT THING BUT THE IDEA WOULD BE YOU
00:37:18   WRITE TO AND READ FROM VARIOUS LOCATIONS IN
00:37:19   MEMORY, INSTEAD OF DOING THAT, WE'RE OPERATING ON
00:37:21   A STACK.
00:37:22   AND IN PARTICULAR, THE PYTHON INTERPRETER IS A
00:37:24   BYTECODE INTERPRETER, SO ITS INPUT IS IN THESE
00:37:29   INSTRUCTION SETS CALLED BYTECODE.
00:37:30   WHEN YOU WRITE PYTHON, THE LEXER, COMPILER
00:37:33   GENERATE THE BYTECODE, IN ADDITION TO SOME EXTRA
00:37:36   PARTS THAT THE INTERPRETER NEEDS TO RUN.
00:37:38   AND THE INTERPRETER THEN CONSUMES THOSE
00:37:41   INSTRUCTIONS.
00:37:41   BYTECODE IS OFTEN CALLED AN INTERMEDIATE
00:37:46   REPRESENTATION OF PYTHON CODE BECAUSE IT
00:37:50   EXPRESSES THE SOURCE CODES THAT YOU WROTE IN A
00:37:53   WAY THE INTERPRETER CAN UNDERSTAND.
00:37:54   THIS IS ANALOGOUS TO THE WAY ASSEMBLY LANGUAGE IS
00:37:58   BETWEEN C-CODE AND A PIECE OF HARDWARE.
00:38:00   AN INTERMEDIATE REPRESENTATION LIKE THIS ADDS A
00:38:02   LAYER OF COMPLEXITY TO YOUR EXECUTION MODEL, SO
00:38:05   THERE IS A COST TO IT IN THAT SENSE.
00:38:06   BUT THE ADVANTAGE IS THAT ALL THIS WORK, THE
00:38:08   LEXING, PARSING, COMBINING Y, ONLY HAS TO BE DONE
00:38:13   ONCE FOR EACH CODE OBJECT INSTEAD OF EVERY TIME
00:38:16   YOU NEED THE CODE OBJECT LATER.
00:38:17   SO OUR GOAL TODAY IS A BYTECODE INTERPRETER.
00:38:21   WHY WOULD YOU WRITES AN INTERPRETER?
00:38:25   CPYTHON IS PRETTY GOOD AND REWRITING IT
00:38:26   PARTICULARLY USING THE STRATEGY WE TOOK WHICH IS
00:38:29   TO REWRITE IT IN PYTHON WON'T MAKE IT BETTER OR
00:38:31   FASTER IN MOST WAYS.
00:38:32   SO FOR NED BATCHELDER, YOU MAY KNOW HIM AS THE
00:38:37   EDITOR OF COVERAGE TEST -- THIS IS A REALLY
00:38:41   TRIVIAL EXAMPLE OF A LINE OF CODE WHERE LINE
00:38:44   LEVEL COVERAGE CAN BE MISLEADING.
00:38:46   YOU MAY HAVE WRITTEN A TEST, THE TEST A BUT NOT B
00:38:50   SO YOU COULD HAVE A BUG IN YOUR PROGRAM HERE AND
00:38:51   LINE LEVEL COVERAGE WOULDN'T CATCH THAT.
00:38:53   SO THE ORIGINAL GOAL OF BYTE RUN WAS TO
00:38:56   INVESTIGATE WHETHER BYTECODE LEVEL COVERAGE WOULD
00:38:58   BE AN INTERESTING THING TO PURSUE.
00:39:00   AND ONE OF THE LESSONS FROM WORKING ON THIS
00:39:03   PROJECT IS THAT IT'S EXTREMELY FIDDLY AND WE HAVE
00:39:06   NOT ENDED UP PURSUING THAT.
00:39:07   I WAS IN THIS PROJECT MOSTLY AS AN INTELLECTUAL
00:39:10   EXERCISE, I THINK IT'S VERY FUN AND INTERESTING
00:39:12   >> SO THE NEXT QUESTION IS WHY WRITE A PYTHON
00:39:16   INTERPRETER IN PYTHON AND PARTICULARLY DOING IT
00:39:18   IN THIS RELATIVELY NAIVE WAY THAT WE WERE DOING
00:39:21   AS OPPOSED TO SOMETHING MORE SOPHISTICATED THAN
00:39:24   PYPY HAS TAKEN.
00:39:25   THE OBVIOUS DISADVANTAGE IS SPEED, THIS WON'T BE
00:39:28   A FUNCTIONAL INTERPRETER IN ANY INTERESTING WAY.
00:39:30   BUT SINCE THE GOAL IS TO UNDERSTAND THE REAL
00:39:34   CPYTHON INTERPRETER, WE DON'T CARE ABOUT SPEED OF
00:39:37   EXECUTION SO WE'RE RUNNING IN A HIGH LEVEL
00:39:39   LANGUAGE PYTHON THAT WE KNOW HOW TO READ AND
00:39:42   WRITE EFFECTIVELY SO WE ENDS UP WITH A PRODUCT
00:39:44   THAT IS EASILY UNDERSTANDABILITY.
00:39:45   THE OTHER SIGNIFICANT ADVANTAGE IS BECAUSE WE
00:39:47   IMPLEMENTED AN INTERPRETER IN PYTHON, WE DIDN'T
00:39:49   HAVE TO IMPLEMENT THE OBJECT SYSTEM.
00:39:51   WHERE YOU JUST SAY, OKAY, WHEN YOU GET TO AN
00:39:53   OBJECT, FALL BACK TO THE REAL OBJECT SYSTEM
00:39:55   ALREADY THERE IN PYTHON, SO THE INTERPRETER CAN
00:39:58   DO SORT OF JUST THE BYTECODE STAGE OF THINGS.
00:40:01   SO THIS IS AN EXAMPLE OF A TEST IN BYTE RUN.
00:40:06   THE IDEA HERE IS THAT WE RUN THE CODE UNDER THE
00:40:10   REAL PYTHON INTERPRETER AND THEN AGAIN UNDER
00:40:11   BYTERUN AND WE MAKE SURE THAT THE SAME THING
00:40:14   HAPPENS, SO WE CAPTURE STANDARD OUT, WE CAPTURE
00:40:16   EXCEPTION STATE, WE COMPARE WHAT GOT PRINTED AND
00:40:19   THE EXCEPTIONS AND SO ON.
00:40:20   COMPARE BYTE RUN TO A REFERENCE IMPLEMENTATION IS
00:40:22   A REALLY GREAT WAY TO DO QUICK DEBUGGING AND THIS
00:40:25   IS IN FACT THE SAME STRATEGY USED FOR MANY NEW
00:40:29   STRATEGIES, LIKE PISTON WHICH IS BEING USED IN
00:40:32   DROPBOX.
00:40:32   THIS ONE PASSES.
