00:52:00:10  >> WELCOME BACK.
01:02:31:01  OUR NEXT SPEAKER IS CHRISTINE
01:02:31:01  SPANG.
01:02:31:19  LET'S GIVE HER A WARM WELCOME.
01:02:33:19  [ Applause ]
01:02:42:04  >> HEY, EVERYBODY.
01:02:43:13  GOOD AFTERNOON.
01:02:44:01  HEY!
01:02:47:01  [SCATTERED APPLAUSE]
01:02:52:25  >> WE'RE GONNA BE TALKING ABOUT
01:02:55:07  WEBSOCKETS TODAY.
01:02:55:28  SO WEBSOCKETS IS COOL BECAUSE
01:02:58:19  THEY ENABLE US TO BUILD WEB
01:03:00:19  APPLICATIONS THAT ARE BOTH
01:03:01:28  REAL-TIME AND THAT SCALE REALLY
01:03:03:25  WELL.
01:03:04:07  SO IN THIS TALK, I'M GONNA GIVE
01:03:07:04  YOU SOME HISTORICAL CONTEXT FOR
01:03:09:10  WHY WE NEEDED WEBSOCKETS IN THE
01:03:10:28  FIRST PLACE.
01:03:13:01  THEN I'M GONNA EXPLAIN TO YOU
01:03:14:16  HOW THE PROTOCOL ACTUALLY WORKS
01:03:16:28  AND I'LL TAKE A LOOK AT A TCP
01:03:20:19  DUMP OF WEBSOCKETS IN ACTION.
01:03:23:10  THINGS YOU NEED TO KEEP IN MIND
01:03:25:04  WHEN ONE OF RUNNING WEBSOCKETS
01:03:27:19  APPLICATIONS IN PRODUCTION.
01:03:28:19  ALL RIGHT, A LITTLE BIT ABOUT
01:03:29:16  ME.
01:03:31:07  MY NAME IS CHRISTINE SPANG.
01:03:32:25  I'VE BEEN PROGRAMMING SINCE I
01:03:34:25  WAS IN HIGH SCHOOL.
01:03:36:04  AFTER THAT I WENT TO M.I.T.
01:03:39:01  AND THEN I SPENT THREE YEARS
01:03:40:22  WORKING AT A COMPANY CALLED
01:03:44:25  K-SPLICE.
01:03:50:10  TODAY I'M ONE OF THE COFOUNDERS
01:03:56:28  AT A COMPANY CALLED NYLAS, A
01:03:59:28  STARTUP IN SAN FRANCISCO.
01:04:02:10  WE'RE BUILDING A PLATFORM THAT
01:04:04:07  MAKES IT EASY FOR YOU TO BUILD
01:04:05:28  APPLICATIONS THAT USE DATA FROM
01:04:08:04  EMAIL, CONTACTS, AND CALENDARS.
01:04:11:16  ALL RIGHT, ENOUGH WITH THE
01:04:13:10  INTROS.
01:04:13:28  LET'S GET TO THE TALK.
01:04:15:10  FIRST WE'RE GONNA TALK ABOUT
01:04:16:25  WHAT WEBSOCKETS ARE.
01:04:18:04  THEN I'LL GIVE YOU A PYTHON
01:04:19:28  EXAMPLE, AND AN EXAMPLE THAT'S A
01:04:21:25  BIT MORE REAL WORLD.
01:04:25:22  THEN WE'LL TALK ABOUT
01:04:27:16  PERFORMANCE AND THEIR USE IN
01:04:30:01  PRODUCTION.
01:04:30:10  ALL RIGHT, LET'S DIVE IN.
01:04:32:25  SO WHAT ARE WEBSOCKETS?
01:04:34:04  SO ANSWER THIS QUESTION, I'M
01:04:37:10  FIRST GONNA GIVE YOU SOME OF THE
01:04:38:22  HISTORY OF PROTOCOLS POWERING
01:04:41:07  WEB APPLICATIONS, THE
01:04:43:04  SHORTCOMINGS THEY HAD, AND HOW
01:04:45:01  WEB DEVELOPERS ATTEMPTED TO
01:04:46:28  ADDRESS THOSE SHORTCOMINGS.
01:04:49:10  ALONG THE WAY, I'LL SHOW YOU HOW
01:04:52:07  WEBSOCKETS TOOK A CONCEPT AND
01:04:54:04  ADAPTED IT FOR THE WEB TO ENABLE
01:04:56:19  NEW KINDS OF WEB APPLICATIONS TO
01:04:58:01  BE BUILT.
01:05:04:04  SO HERE'S A DIAGRAM THAT SHOWS
01:05:07:13  HOW HTTP WORKS.
01:05:09:16  HOW MANY HERE HAVE USED HTTP,
01:05:12:10  UNDERSTAND HOW IT WORKS?
01:05:13:16  OKAY, GOOD.
01:05:14:07  THAT'S GOOD BACKGROUND FOR THIS
01:05:15:19  TALK.
01:05:15:28  SO TO QUICKLY OVERVIEW, OR
01:05:18:28  REVIEW RATHER, YOU HAVE WEB
01:05:21:07  SERVERS WHICH HOST THE STATIC
01:05:24:22  HTML PAGES AND AID KEYED THAT
01:05:26:13  MAKES UP THE WEB APPLICATION,
01:05:28:04  AND THEN YOU HAVE BROWSERS WHICH
01:05:29:16  ARE CLIENTS THAT TALK TO THE WEB
01:05:31:01  SERVER USING HTTP TO RETRIEVE
01:05:35:04  CONTENT TO SHOW USERS VIA THE
01:05:37:01  WEB BROWSER.
01:05:37:25  HERE'S AN EXAMPLE OF WHAT A
01:05:40:28  TYPICAL GET REQUEST IN HTTP
01:05:43:19  LOOKS LIKE.
01:05:44:10  YOU CAN SEE THAT THE -- THE
01:05:46:07  BASIC REQUEST IS THE VERB, GET,
01:05:48:19  AND THE ARGUMENT, IN THIS CASE
01:05:50:28  SLASH, AND THEN WE HAVE A WHOLE
01:05:53:19  BUNCH OF OTHER INFORMATION IN
01:05:55:01  THIS REQUEST THAT ARE HEADERS
01:05:57:04  THAT GO ALONG WITH THE REQUEST.
01:05:59:25  AND YOU CAN SEE FROM JUST THE
01:06:02:04  EXCERPT UP HERE THAT MOST OF AN
01:06:04:28  HTTP REQUEST IS ACTUALLY THE
01:06:06:22  HEADERS AND NOT THE ACTUAL
01:06:08:16  ACTION THAT WE'RE TRYING TO DO.
01:06:10:01  THIS IS IMPORTANT FOR LATER.
01:06:14:01  SO TO CONTINUE WITH THE
01:06:20:25  BACKGROUND, THE WEB WAS
01:06:23:28  ORIGINALLY CREATED BY TIM
01:06:25:22  BERNERS-LEE TO SHARE STATIC
01:06:28:10  ACADEMIC DOCUMENTS, AND SO THIS
01:06:30:04  BASIC MODEL WHERE A CLIENT
01:06:31:19  REQUESTS A PAGE, OPENS A
01:06:33:07  CONNECTION TO DO THAT, AND GETS
01:06:34:25  A PAGE BACK, WORKED REALLY WELL
01:06:36:25  TO SHARE ACADEMIC DOCUMENTS.
01:06:38:19  BUT AS TIME WENT ON, PEOPLE
01:06:42:04  WANTED TO CREATE ACTUAL SOFTWARE
01:06:43:28  PROGRAMS WHERE MOST OF THE WORK
01:06:45:04  WAS DONE ON THE SERVER AND THE
01:06:46:22  BROWSER JUST ACTS AS A THIN
01:06:50:01  CLIENT, RETRIEVING NEW DATA AND
01:06:52:01  RENDERING IT TO THE USER.
01:06:53:22  SO THERE ARE A NUMBER OF REASONS
01:06:55:10  TO WANT TO DO THIS, SUCH AS NOT
01:06:57:22  WANTING TO SEND NEW UPDATES TO
01:07:00:19  THE USERS'S COMPUTERS.
01:07:02:16  YOU CAN CREATE INTERACTIVE
01:07:04:04  APPLICATIONS.
01:07:04:19  THE MAIN WRENCH IS THAT EVERY
01:07:06:19  TIME SOME INTERACTION HAPPENS,
01:07:08:10  SAY, A USER CLICKS ON A LINK OR
01:07:10:25  A BUTTON OR THE APP WANTS TO
01:07:12:16  REFRESH THE PAGE TO UPDATE THE
01:07:14:10  INFORMATION BEING DISPLAYED, IT
01:07:16:04  HAS TO INITIATE AN ENTIRELY NEW
01:07:18:25  HTTP CONNECTION TO THE SERVER,
01:07:20:19  SEND IT THE REQUEST, AND RECEIVE
01:07:22:10  A RESPONSE.
01:07:24:04  AND AS I SHOWED ON THE PREVIOUS
01:07:26:22  SLIDE, IT TURNS OUT THAT A
01:07:29:07  LOT -- THERE'S A LOT OF DATA
01:07:30:19  BEING SENT IN EVERY HTTP
01:07:33:16  REQUEST.
01:07:33:25  THE AVERAGE HTTP HEADER REQUEST
